recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D49	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
539c656b9710b0099a96a678b3023299	0	0	0	0	14	103	0	65	0	10	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a75b0438ad19fb4e31f4d58c2d49ea02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	16	0	29	0	0	0	6	0	31	0	14	0	7	15	10	0	29	0	0	0	0	13	0	16	32	9	15	7
c942f59feffce9c3ab527135de234101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	88	0	0	0	0	0	0	0	13	0	7
39bb3fb5b2257fd2eacca408dc42c5d1	0	5	0	0	0	27	0	28	10	0	0	10	0	0	0	62	0	0	0	79	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
99dda7b5337bc09a69e9e27bab56fd79	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	19	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	30	0	11	0	0	20	3	9	23	16	18	16
c82032c40c98975f71892e4be561c87a	0	0	8	6	0	0	0	0	0	3	7	20	0	0	0	8	0	0	7	0	7	0	0	0	0	14	17	0	20	0	0	0	14	0	31	13	8	6	0	8	0	8	0	0	0	0	0	11
867ef55516e42915f9969f14b3640967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	10	0	0	53	53
f12011ad5219b22b6ca790103333a755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	21	17	0	21	0	0	0	0	0	0	34	0	8	5	0	12	37
61795ee8e60f4a0f66080ab812573fb8	0	39	0	0	0	0	0	0	23	0	0	24	0	0	0	25	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	7	0	0	0	0	0	0	0	0
436497b0e3edb384200f5b9b82883182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	11	0	0	0	0	0	0	0	0	40	0	9	30	0	0	26	0	0	0	6	0	0	0	15	0	17
98f949633286bc12c8a26a7ee2de2a55	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	43	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7236beef2afd3daa8faca0b3865918a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	57	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
64d0a182b41ddc2ed31ebfc1dd2dab3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	66	0	0	14	0	0	0	0	0	7	0	0	0	53
42019875482bfb1e4ef010ce0cc617b8	0	0	0	0	11	56	5	35	0	0	0	0	9	0	10	8	0	6	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d9e31dc68d6d5c708f70143f73f54b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	16	0	4	0	3	11	7	0	8	0	6	0	0	0	21	31	0	5	6	0	8	4
fcc915000295812eecfa7245a74346e9	0	0	0	0	0	0	0	0	0	43	0	0	0	0	35	0	41	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d357d84911ef4a089c6ae3c6deb39b9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	7	0	6	10	7	0	20	0	12	0	0	13	0	0	15	11	0	0	0	28	0	0
7ce470a3f833253f6d667fa6830abe07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17	0	89	9	0	17	0	0	0	0	0	0	0	0	0	0
b153e0852342c0738da791930625716f	0	0	6	12	8	0	4	11	0	0	18	11	0	0	36	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
4acc36d268585bc3834e627756313b21	0	0	7	0	0	0	14	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
113ce005a880987438bdbe19ee22add8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	23	46	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
a544abd909afc727c4418e4e19eed417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	7	0	0	2	0	0	9	5	5	0	6	13	0	0	5	0	8	0	11	10	0	4	9	14	5	4
589c1370b3324a2d6cff6d1ff85341d1	4	0	8	14	6	0	6	8	0	0	35	16	27	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
72d6ddeb60679dd2e2844fe039e1a760	0	0	7	0	10	0	0	0	0	0	0	8	0	0	14	41	10	0	0	3	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f48f7b79ed6f3dcde8b25e0cf244d5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	9	0	17	0	0	43	0	0	9	0	21	0	0	18	0	0
